ID,Group,Feature_1,Feature_2,Feature_3
ID037,B,2475.694710776242,400.5603338463081,4951.389421552484
ID038,C,2500.1649400049214,379.24025775436104,-2120.92468225056
ID039,C,2458.122544535992,398.4577513807424,-2059.6647931552493
ID040,B,2395.77878444044,373.0125423416325,4791.55756888088
ID041,A,2591.9127609492143,379.325028872312,5879.113138486083
ID042,C,2491.9707031366606,407.2879824584897,-2084.682720678171
ID043,A,2542.307221728222,379.59235057973075,5728.959912286012
ID044,A,2499.266555694487,413.29583274115595,5431.320503377682
ID045,C,2584.243975832669,379.8111747469623,-2204.4328010857066
ID046,B,2552.863890596319,420.7335437480544,5105.727781192638
ID047,C,2686.8511141813356,437.53730821163606,-2249.3138059696994
ID048,C,2461.7083142155816,409.59569887227724,-2052.1126153433042
ID049,C,2444.445774874398,391.81987997984015,-2052.625894894558
ID050,A,2719.048433912374,378.7037908444075,6263.6263475150845
ID051,A,2406.446504472744,381.35477456014286,5312.565640617518
ID052,A,2366.8159832680544,390.3646705782689,5148.6245969128195
ID053,B,2720.6402032033457,401.8372269744068,5441.280406406691
ID054,B,2437.7595200413925,409.7097778772295,4875.519040082785
ID055,B,2720.8395800221365,389.6149390288654,5441.679160044273
ID056,A,2439.7278694703377,403.9470144738267,5299.448536041879
ID057,C,2518.225318815502,385.34639634152296,-2132.878922473979
ID058,C,2426.9507293643833,402.97533569671384,-2023.9753936676693
ID059,A,2906.3516838716205,375.6633005388128,6840.738548920797
ID060,C,2656.3160026616733,397.3200169005635,-2258.9959857611098
ID061,B,2474.083683827903,390.1044954071614,4948.167367655806
ID062,C,2608.9798270719516,376.29128974126394,-2232.6885373306877
ID063,B,2420.597113093564,398.45990051539917,4841.194226187128
ID064,A,2509.2546275031905,399.06505578290074,5532.438603595067
ID065,C,2402.236240048463,388.42830445035327,-2013.80793559811
ID066,A,2592.536773933464,388.22035819187687,5836.508530841007
ID067,A,2616.4990518211066,402.9110317878353,5834.941996524143
ID068,A,2462.5673618749547,395.1767576677016,5411.818297286356
ID069,A,2780.223049406932,403.4684794387416,6323.326751027089
ID070,B,2306.1082828358903,414.5741926216609,4612.216565671781
ID071,A,2655.834972000761,419.4473866788681,5870.267982607942
ID072,C,2623.245198041202,432.150467063277,-2191.094730977925
ID073,B,2606.0947967813963,392.8986012121846,5212.189593562793
ID074,A,2277.913186693628,406.8135803846325,4799.671658157722
ID075,B,2605.167989229731,416.3104654301333,5210.335978459462
ID076,A,2497.559354332426,402.34485011377393,5480.953812428408
ID077,B,2580.462672205952,399.9908303622307,5160.925344411904
ID078,C,2493.754547710394,405.83620562473345,-2087.9183420856607
ID079,B,2413.157645612714,385.83016442309344,4826.315291225428
ID080,B,2512.8918007958687,401.4091054383934,5025.783601591737
ID081,B,2187.4663584969994,428.99417759566813,4374.932716993999
ID082,A,2694.6422980177927,403.21756796107184,6067.839054248019
ID083,B,2720.4335944208806,401.6552538112945,5440.867188841761
ID084,C,2436.5521734733748,381.86714181489606,-2054.6850316584787
ID085,B,2706.0785454113307,379.5780403472172,5412.157090822661
ID086,B,2511.38265799243,387.1301326886313,5022.76531598486
ID087,A,2334.285007731145,414.6357607014935,4929.676219685967
ID088,B,2485.443994765287,396.0359787019601,4970.887989530574
ID089,B,2371.1142575205668,413.9048008773891,4742.2285150411335
ID090,A,2400.378297377147,378.4462631520998,5308.9035763709435
ID091,C,2409.8011213762265,391.1945599586602,-2018.6065614175664
ID092,C,2377.7592192384272,381.83713617933705,-1995.9220830590903
ID093,C,2442.7544568848043,390.0107051697724,-2052.743751715032
ID094,B,2459.772934269794,374.0133292335061,4919.545868539588
ID095,B,2411.667095012524,379.2058372753536,4823.334190025048
ID096,C,2597.7019116746087,390.63130412092437,-2207.0706075536846
ID097,A,2667.4844030832155,391.0242054422602,6047.332182038345
ID098,A,2748.9831055295963,397.80358471700345,6257.9313930037715
ID099,C,2370.73243589052,412.2268466677834,-1958.5055892227365
ID100,B,2307.242835854601,379.6262640427968,4614.485671709202
ID101,A,2610.4979071396556,424.1384528276613,5710.8014572806605
ID102,C,2200.2862689793046,420.07685007335,-1780.2094189059546
ID103,C,2534.187882905246,402.19705467425655,-2131.99082823099
ID104,C,2463.22078859268,410.5503080711438,-2052.6704805215363
ID105,A,2702.2571266859964,407.848315042516,6067.52980484541
ID106,C,2336.229421915276,399.6401695719346,-1936.5892523433413
ID107,A,2657.687697590072,403.4182186151193,5955.971999694619
ID108,B,2697.536366688022,409.95534310626783,5395.072733376044
ID109,C,2412.3595034403993,399.21635781268066,-2013.1431456277187
ID110,B,2445.158061863017,413.19533150199834,4890.316123726034
ID111,B,2579.9177735844205,448.163931012146,5159.835547168841
ID112,A,2380.535417451183,405.25934812504084,5115.309511728345
ID113,C,2570.6265502081283,390.4569997285729,-2180.1695504795553
ID114,B,2521.585664682309,403.37274204116744,5043.171329364618
ID115,B,2384.404034870909,404.19905411745845,4768.808069741818
ID116,B,2452.7837869602645,405.25471977130593,4905.567573920529
ID117,B,2555.393391210598,411.9919678262711,5110.786782421196
ID118,B,2794.884347019768,366.38189475464526,5589.768694039536
ID119,A,2574.96720630567,396.5729524331662,5742.03685675118
ID120,A,2648.048974274871,369.26973682656075,6097.798238691809
ID121,B,2374.300818523687,410.0457804023025,4748.601637047374
ID122,C,2251.9345798681934,399.4935669923264,-1852.441012875867
ID123,B,2510.6580877104875,372.6598888109326,5021.316175420975
ID124,A,2507.9960763642207,388.5549850784544,5581.21330370039
ID125,B,2618.3111918370505,394.84829413258024,5236.622383674101
ID126,A,2438.688385233227,397.42565325773813,5328.936889410991
ID127,A,2313.595513423858,412.2181643078646,4879.695718732251
ID128,A,2610.218793992738,414.23833085660937,5759.464727695167
ID129,A,2416.4906221136407,411.29733597488007,5192.985186466522
ID130,B,2430.286964454762,407.91340880762874,4860.573928909524
ID131,A,2676.889555996922,397.2229875848338,6044.5537300665965
ID132,B,2408.7334728559445,381.3771336902846,4817.466945711889
ID133,A,2110.345952652018,408.55826318430525,4288.246542034527
ID134,B,2563.6601460032516,413.3407833145773,5127.320292006503
ID135,B,2513.464384887532,403.14788947244136,5026.928769775064
ID136,C,2675.9819844557856,397.8515767219139,-2278.130407733872
ID137,B,2494.654353837813,383.04877854430015,4989.308707675626
ID138,A,2561.253431710515,420.89562142634145,5579.282187999838
ID139,C,2370.137980211974,385.6915981345046,-1984.4463820774695
ID140,C,2560.3333405291987,414.3864757281759,-2145.946864801023
ID141,B,2647.2138974756076,427.8359055824396,5294.427794951215
ID142,C,2755.7932291246493,408.8100377809911,-2346.9831913436583
ID143,C,2342.6703237711854,392.5822386126459,-1950.0880851585396
ID144,A,2435.3054125016397,406.61125571795856,5272.859958915126
ID145,C,2600.574703713167,386.5715314692995,-2214.0031722438675
ID146,A,2600.6180394464104,410.0431428123338,5751.638404277563
ID147,B,2408.1784989542434,427.3675655282402,4816.356997908487
ID148,A,2723.6296007967826,410.82309471288755,6116.77332882591
ID149,B,2588.99355516549,407.1930212325972,5177.98711033098
ID150,C,2452.3348600112054,407.89511048790496,-2044.4397495233004
ID151,C,2394.0932879098054,371.5765253609602,-2022.5167625488452
ID152,A,2724.641597109469,408.5168279707981,6131.3406514744165
ID153,B,2403.455525308716,400.2967451229686,4806.911050617432
ID154,A,2436.268043833978,406.00032740418163,5278.802494481026
ID155,B,2475.5251548020456,413.91428084634515,4951.050309604091
ID156,C,2661.9976802073534,415.8424534094824,-2246.155226797871
ID157,B,2725.669840305056,401.23791523989024,5451.339680610112
ID158,C,2718.5378361097837,400.2775345546962,-2318.2603015550876
ID159,A,2313.0394608913975,401.91463500285226,4929.545207659931
ID160,B,2624.241555227557,400.64541139684695,5248.483110455114
ID161,A,2564.9734778360394,381.492891919981,5787.455973908212
ID162,C,2420.717860933256,417.31058528260746,-2003.4072756506484
ID163,C,2490.5387110411493,394.7158904081843,-2095.822820632965
ID164,B,2795.366299696908,403.51562160736415,5590.732599393816
ID165,C,2520.6371803727247,408.6022346719586,-2112.034945700766
ID166,A,2413.7305160671035,390.8045563328334,5287.168766537143
ID167,A,2513.4480361304304,405.1940844297806,5514.373686242388
ID168,B,2954.9502713466254,389.24289727152205,5909.900542693251
ID169,B,2591.0863591221882,401.0444102498552,5182.1727182443765
ID170,A,2435.996027885051,389.59033574038483,5360.036404953229
ID171,C,2742.6275192276184,415.57962911480354,-2327.047890112815
ID172,C,2442.7368980968176,375.3584946173455,-2067.378403479472
ID173,C,2764.932042484628,391.5793457181567,-2373.352696766471
ID174,A,2584.9007708704426,392.08897116136075,5794.257456804524
ID175,C,2527.7647392862214,403.3286213493053,-2124.436117936916
ID176,B,2682.7908822564723,389.8496572362984,5365.581764512945
ID177,B,2354.428142139242,407.6865862753954,4708.856284278484
ID178,B,2684.2245497292747,413.2281571792829,5368.449099458549
ID179,B,2565.2178072702322,398.9192622123372,5130.4356145404645
ID180,A,2820.148270824641,397.8622909862822,6471.133357542512
ID181,A,2864.3176845176113,388.38668696794934,6651.019618713087
ID182,B,2384.7858521082035,421.805236750816,4769.571704216407
ID183,C,2519.6149201411695,419.2308485787941,-2100.3840715623755
ID184,C,2400.4491384866997,419.0322904553956,-1981.4168480313042
ID185,B,2394.386172879253,404.79959672584874,4788.772345758506
ID186,B,2499.1600826214067,380.23429095476087,4998.320165242813
ID187,A,2304.2764321844975,387.67493374278456,4974.45462783957
ID188,C,2594.4278959770513,418.84555609413405,-2175.582339882917
ID189,C,2611.0836390188315,398.47913090177394,-2212.604508117058
ID190,B,2470.9989333663384,401.21865134373206,4941.997866732677
ID191,A,2445.2138818780295,414.07152944290124,5265.2839984195825
ID192,A,2405.5992027414877,392.45459959394435,5254.524610254742
ID193,B,2608.9025643708505,386.7792535240207,5217.805128741701
ID194,A,2718.0702849289364,404.68871197682466,6130.7672949026855
ID195,C,2147.4148905492557,393.79255991012224,-1753.6223306391335
ID196,B,2609.8433904772464,392.1266754150237,5219.686780954493
ID197,A,2628.0397419661863,417.4394555495299,5796.92194815091
ID198,B,2430.8220434030623,396.97908616585556,4861.6440868061245
ID199,A,2593.6602680848664,421.29740946338154,5674.493756937692
ID200,B,2509.9704226956765,417.557393678326,5019.940845391353
ID201,B,2562.604908560772,388.7894743610469,5125.209817121544
ID202,A,2245.4404106060983,391.17760797032605,4780.433191966665
ID203,A,2574.006626389652,397.31518425720674,5735.443957882922
ID204,C,2505.1378088241045,417.22420550871226,-2087.9136033153923
ID205,C,2445.566994695075,397.7561227082057,-2047.8108719868696
ID206,B,2296.787737579647,403.2499543220478,4593.575475159294
ID207,B,2286.1271992493844,388.64132700694563,4572.254398498769
ID208,A,2708.473608762194,390.2510933048757,6174.1653597622035
ID209,C,2454.912940550607,381.5394489799864,-2073.3734915706204
ID210,C,2600.1043986144355,410.3512843622017,-2189.753114252234
ID211,B,2103.737133331099,405.40812376025383,4207.474266662198
ID212,C,2627.0251344983,397.6876485888561,-2229.337485909444
ID213,A,2366.95877671008,392.1063717754474,5140.344471253004
ID214,A,2726.007588746427,400.5150995483603,6175.447268497479
ID215,B,2306.9031204723215,408.8072363265487,4613.806240944643
ID216,A,2385.482341537559,358.723325736334,5362.830395931007
ID217,B,2591.1564492837574,406.8792487729592,5182.312898567515
ID218,A,2434.051441941252,389.67260096686647,5353.791320989424
ID219,B,2599.5439499595204,399.86287000901734,5199.087899919041
ID220,B,2685.906171530244,408.3617238893108,5371.812343060488
ID221,C,2345.4782990496333,403.8577472490889,-1941.6205518005445
ID222,C,2434.717647773475,413.0206569787201,-2021.696990794755
ID223,A,2484.398910289617,369.45456464289384,5605.923907654382
ID224,B,2468.4562793672408,398.43227046621985,4936.9125587344815
ID225,A,2556.4745483083925,378.817677261019,5775.335258620083
ID226,B,2463.2390114542936,398.8324795492219,4926.478022908587
ID227,A,2457.4810284733876,414.19705947841965,5301.457788028065
ID228,A,2657.1993520362835,415.2406767160076,5895.394672528813
ID229,A,2656.0323342747756,381.1216017014918,6062.488994316867
ID230,B,2438.938919243692,395.7674682581557,4877.877838487384
ID231,B,2321.6038072903943,410.4174021238399,4643.207614580789
ID232,A,2451.42020962555,405.3473315399373,5327.523971176963
ID233,B,2685.157800261742,398.68552651695165,5370.315600523484
ID234,B,2623.3630299039646,405.70320746032564,5246.726059807929
ID235,A,2742.8836684178614,403.2597903280641,6212.352053613265
ID236,B,2337.4047424218056,400.7128519127335,4674.809484843611
ID237,A,2433.3079311298843,376.8612934082463,5415.617326348422
ID238,B,2482.2213255050874,404.80744412574677,4964.442651010175
ID239,C,2539.215824130452,400.21245078788945,-2139.0033733425626
ID240,C,2429.733161522618,371.13581766168585,-2058.597343860932
ID241,A,2758.4386169662257,363.3117815574467,6458.756943111444
ID242,A,2534.186186942824,371.33146488591876,5745.901236398879
ID243,B,2539.897267914978,370.30138717065984,5079.794535829956
ID244,A,2533.741506330904,384.8614030103128,5676.917503941148
ID245,B,2357.5441592232287,413.91371325591257,4715.088318446457
ID246,B,2647.339625298916,386.52810463889716,5294.679250597832
ID247,C,2666.5328442726955,403.7650906892836,-2262.767753583412
ID248,A,2084.751473488286,407.864213073295,4214.933355098383
ID249,C,2395.6022790536254,407.2647802673701,-1988.3374987862553
ID250,A,2369.3827373642193,402.7402157046566,5094.447133569374
ID251,B,2578.834956677724,380.67331868788347,5157.669913355448
ID252,B,2539.516295060387,417.37151928003755,5079.032590120774
ID253,C,2372.651120679556,411.38217750495096,-1961.2689431746048
ID254,B,2419.2711698110634,385.41169590360664,4838.542339622127
ID255,B,2627.7795169985307,390.3573014235702,5255.559033997061
ID256,A,2686.5613722441813,375.84881131782225,6180.440060143433
ID257,B,2407.80616276417,396.7540920290519,4815.61232552834
ID258,B,2496.654644091504,415.64405926892033,4993.309288183008
ID259,A,2401.6440710686134,414.28203260456667,5133.522050183007
ID260,A,2419.059137195689,417.7661302477659,5168.346760348237
ID261,C,2257.353004063413,405.2446221409262,-1852.108381922487
ID262,B,2361.689454749592,398.03559603144635,4723.378909499184
ID263,C,2654.564611213862,382.2812014628165,-2272.2834097510454
ID264,C,2168.926583188671,368.63604055316785,-1800.2905426355032
ID265,B,2177.948408899162,414.760561555422,4355.896817798324
ID266,C,2333.2578304283343,411.6387088624426,-1921.6191215658916
ID267,C,2439.2494338890956,397.26312717986565,-2041.98630670923
ID268,A,2705.677563621914,397.9016252061826,6127.52456483483
ID269,A,2439.6716442872394,394.2485095769942,5347.772384976747
ID270,B,2417.453191788772,390.8632834664171,4834.906383577544
ID271,A,2557.826522651975,375.73134020908674,5794.822866910492
ID272,C,2349.6071593295846,409.4624332767745,-1940.1447260528103
ID273,C,2277.1975824966958,428.45057262752783,-1848.7470098691679
ID274,A,2505.0221075383147,432.6307833286939,5351.912405971475
ID275,C,2449.9100372077082,430.1634387702642,-2019.746598437444
ID276,A,2434.0831419711735,381.9895229636135,5392.301811095453
ID277,C,2640.657499320188,407.44681620596566,-2233.2106831142223
ID278,B,2718.8288560849883,404.5302707803507,5437.657712169977
ID279,A,2317.303210704286,417.2141935002197,4865.83866461176
ID280,B,2470.2208173678714,403.95904940972036,4940.441634735743
ID281,A,2525.324381713686,401.19062029122614,5570.020043684926
ID282,A,2570.650271597728,403.31801167783397,5695.360756404015
ID283,A,2641.2126925554603,387.2978981706391,5987.148586813186
ID284,C,2590.5525527477234,415.195057622614,-2175.3574951251094
ID285,C,2286.3324645469147,395.2888599822669,-1891.043604564648
ID286,B,2447.89043727717,386.80375218692444,4895.78087455434
ID287,B,2758.3026733878355,395.06206742868886,5516.605346775671
ID288,B,2163.4101666737065,409.1364157067558,4326.820333347413
ID289,A,2607.2659083799954,392.7751250131364,5857.922100074304
ID290,B,2468.2267310251805,379.3053559530236,4936.453462050361
ID291,C,2338.0062623848353,403.05679346365673,-1934.9494689211785
ID292,B,2374.127838381161,388.9422088206811,4748.255676762322
ID293,C,2243.2460018596375,399.1404654478247,-1844.1055364118129
ID294,A,2587.807382712177,387.81224723631203,5824.360911954971
ID295,A,2030.3629017721837,375.79432208977755,4212.117094867664
ID296,A,2220.4697980165633,417.89488454640906,4571.934971317644
ID297,A,2450.6158024643637,398.1181923588494,5361.256445598844
ID298,C,2407.2110958957533,368.5251195570481,-2038.6859763387051
ID299,C,2603.6685963354876,403.5972528793237,-2200.071343456164
ID300,A,2521.497884422201,416.1667831218314,5483.659737657446
ID301,C,2529.4522582780205,391.0226992315219,-2138.4295590464985
ID302,A,2392.77277754029,395.539527541342,5200.62069491416
ID303,C,2438.579733529922,382.7222488378578,-2055.857484692064
ID304,B,2394.536211824512,389.64660396761997,4789.072423649024
ID305,A,2684.3152210113985,395.65167710771783,6074.687277495606
ID306,C,2468.7732457785214,401.2798658844435,-2067.493379894078
ID307,B,2541.4397180021174,423.9920067746304,5082.879436004235
ID308,A,2048.0730570421747,406.4969749979009,4111.73429613702
ID309,B,2535.440107838233,405.77055241855044,5070.880215676466
ID310,B,2583.0016302705158,393.2200048513032,5166.0032605410315
ID311,B,2820.6405621286967,388.36012344420516,5641.2811242573935
ID312,A,2573.516920416285,403.6129008892748,5702.48625680248
ID313,C,2416.1410867109194,408.8552199922156,-2007.2858667187038
ID314,C,2416.42806154765,408.92659136103117,-2007.501470186619
ID315,A,2596.2047292833586,408.05530001864497,5748.337687756851
ID316,C,2557.679651164255,394.7350918800326,-2162.9445592842226
ID317,B,2397.03970167415,389.5348281275101,4794.0794033483
ID318,A,2484.704958377644,397.530739321985,5466.461178523006
ID319,A,2536.496425046548,402.83251532615776,5595.326698508856
ID320,A,2482.0018111704217,392.19943884059256,5485.008239308303
ID321,C,2520.2643484002533,411.1940805763944,-2109.070267823859
ID322,A,2309.430822986675,389.3301937350236,4981.641500284908
ID323,A,2746.016114062782,401.38439872453125,6231.126348565689
ID324,A,2507.1705324460722,416.6922856476659,5438.050169099886
ID325,B,2491.7575958932675,427.91575565273166,4983.515191786535
ID326,A,2425.402073597658,401.2130549613742,5270.140945986102
ID327,C,2567.0750471538836,379.8783623110842,-2187.196684842799
ID328,A,2379.4890141155774,380.5859439597879,5235.537322547792
ID329,A,2318.099668610445,389.9202965951339,5004.697522855666
ID330,B,2417.396699566512,422.69964517979497,4834.793399133024
ID331,B,2859.364042253913,413.1271130625437,5718.728084507826
ID332,C,2804.619457075756,407.21581379436174,-2397.4036432813946
ID333,A,2504.824805047062,406.79222332072874,5480.513298537542
ID334,A,2439.8555679297074,387.3702566515163,5382.71542053154
ID335,A,2599.315977628807,412.5875847344033,5735.010009214406
ID336,A,2541.6161349287504,391.91634329255646,5665.266688323469
ID337,A,2282.447671911136,407.89968636428165,4807.8445839119995
ID338,B,2595.8191719495444,423.75396145051855,5191.638343899089
ID339,C,2618.1395733383024,415.69019288331737,-2202.449380454985
ID340,A,2460.9662998089716,406.5803961282358,5349.996918785736
ID341,A,2307.806670497963,387.1781910916631,4987.529056035573
ID342,C,2560.641896177047,409.3814475476633,-2151.2604486293835
ID343,B,2241.4339779546135,435.42332344524135,4482.867955909227
ID344,B,2444.5549560840095,373.9554289850843,4889.109912168019
ID345,A,2602.444093969638,404.7738936771606,5783.4628135231105
ID346,B,2709.49405572633,401.4717071283889,5418.98811145266
ID347,B,2265.1451325970515,385.7009010863956,4530.290265194103
ID348,B,2562.0435035314463,407.1280427668043,5124.087007062893
ID349,B,2797.1151931949503,406.2597241863769,5594.230386389901
ID350,A,2501.080576070667,392.1785506782419,5542.348974820792
ID351,C,2717.9191200812056,421.39311341785856,-2296.5260066633473
ID352,B,2497.2154198363764,399.1350818450339,4994.430839672753
ID353,B,2473.1763960053795,401.82392274064193,4946.352792010759
ID354,A,2321.6603472537154,407.72569974450613,4926.352543038615
ID355,A,2498.8224014843026,391.15804189008094,5540.676995002503
ID356,A,2540.7881624700376,409.4048822773727,5575.340076023249
ID357,C,2438.1658270738194,401.94791490007833,-2036.217912173741
ID358,A,2593.314150250877,402.6812309863399,5766.536295820932
ID359,A,2390.3220235747003,392.5872474240135,5208.029833604033
ID360,C,2435.688517657594,376.8218147812478,-2058.866702876346
ID361,A,2105.1022174088616,407.52921282822564,4277.660588085457
ID362,B,2599.657310688166,413.17706065181477,5199.314621376332
ID363,C,2562.336762776732,393.3692771549751,-2168.967485621757
ID364,C,2750.8692486238833,380.85144688598757,-2370.0178017378958
ID365,A,2468.2987678267473,404.90839231792484,5380.354341890617
ID366,A,2406.5628672469447,377.6259104154514,5331.559049663577
ID367,B,2529.3398390727148,388.1491825711985,5058.6796781454295
ID368,C,2635.4774431269766,394.35047102055876,-2241.1269721064177
ID369,A,2628.038835855704,362.0757645039139,6073.737685047542
ID370,B,2844.289999297909,412.931728110732,5688.579998595818
ID371,A,2340.4914034758913,388.86938426884876,5077.12728908343
ID372,B,2440.740200016481,424.1823324141158,4881.480400032962
ID373,A,2263.313781162255,420.30676042363496,4688.407541368591
ID374,A,2436.6100575076925,384.3935841558752,5387.862251743702
ID375,C,2392.4887717793404,379.09596634552423,-2013.3928054338162
ID376,B,2623.823958661354,394.3602251198267,5247.647917322708
ID377,C,2200.5974340041653,415.2749231993532,-1785.322510804812
ID378,B,2485.956930654942,405.4678475635476,4971.913861309884
ID379,C,2688.451714672141,395.9073081754446,-2292.5444064966964
ID380,B,2383.02638537107,415.9104837243891,4766.05277074214
ID381,B,2496.494488707075,406.27911795193995,4992.98897741415
ID382,C,2491.4469459724914,416.120996677105,-2075.3259492953866
ID383,B,2540.2685165967987,418.69134610424106,5080.537033193597
ID384,B,2510.0476787834145,396.3944298780845,5020.095357566829
ID385,A,2722.5636672287337,385.2878097937015,6241.251952717694
ID386,B,2295.9816498294044,420.70631433793113,4591.963299658809
ID387,C,2307.8201493692777,404.94558795918175,-1902.874561410096
ID388,C,2210.532491201841,421.6607405158631,-1788.8717506859778
ID389,C,2214.1126567784368,443.597087506924,-1770.5155692715127
ID390,C,2654.6563057732587,419.9403299800776,-2234.7159757931813
ID391,B,2577.4513092533875,392.90184221117215,5154.902618506775
ID392,A,2585.1699023981296,397.9984486891874,5765.517463748452
ID393,C,2583.3031607913645,371.4604398220979,-2211.8427209692663
ID394,A,2621.9995171406063,407.39204910469425,5829.038305898348
ID395,B,2547.7621264700547,394.4730379393616,5095.524252940109
ID396,C,2630.991561238356,380.16585146954486,-2250.825709768811
ID397,B,2468.715755396439,415.05219157575976,4937.431510792878
ID398,C,2446.775856960297,406.1332299698186,-2040.6426269904784
ID399,A,2444.0012820276365,409.96099419506555,5282.198875107581
ID400,C,2799.3955785987578,415.5789809604963,-2383.8165976382616
ID401,A,2324.910341017003,377.4876329853514,5087.292858124251
ID402,C,2720.0164758815476,393.00582155300174,-2327.010654328546
ID403,A,2413.23335050618,403.4074961534552,5222.662570751265
ID404,B,2361.382816442226,422.25272386357614,4722.765632884452
ID405,A,2787.2588579090607,388.9953500565987,6416.799823444188
ID406,A,2416.139514289622,392.771241637669,5284.562334680522
ID407,A,2591.5812024730308,418.17513587926976,5683.8679280227425
ID408,B,2397.250683454919,420.0569083801268,4794.501366909838
ID409,A,2538.9045426702505,411.7592811182393,5557.917222419555
ID410,A,2814.0524883184403,381.68232286086777,6533.745850650981
ID411,A,2506.4710570090756,392.46921009849075,5557.0671205347735
ID412,A,2623.9819652797128,418.0470599600563,5781.710596038857
ID413,A,2670.2851166807372,416.98075973818317,5925.951551351296
ID414,A,2643.1233093979235,389.4318449021575,5982.210703682983
ID415,B,2571.5442377051086,397.14152031841917,5143.088475410217
ID416,C,2426.5754640123705,403.86981009887444,-2022.705653913496
ID417,C,2657.677864262378,405.03268441109805,-2252.64517985128
ID418,B,2632.943097038342,420.85228101347843,5265.886194076684
ID419,A,2424.6481612905122,377.52506640184833,5386.319151862295
ID420,B,2371.010493949983,431.4376574066591,4742.020987899966
ID421,C,2726.984462365236,369.20174929373627,-2357.7827130715
ID422,C,2313.0803427751157,395.530499506748,-1917.5498432683676
ID423,B,2552.681060607667,379.3669717764674,5105.362121215334
ID424,C,2607.269442566613,383.81123379331865,-2223.4582087732947
ID425,A,2560.757449147154,406.19249300066133,5651.309882438156
ID426,B,2282.248777266982,405.80540446822926,4564.497554533964
ID427,A,2312.5399091594486,407.04192030970336,4902.4101259298295
ID428,B,2712.6766040051325,402.34860060241004,5425.353208010265
ID429,C,2480.3541269716798,389.5808792203034,-2090.7732477513764
ID430,C,2384.5823182919494,420.96858201046547,-1963.6137362814839
ID431,A,2635.9544483790164,378.15097011105536,6017.108494581773
ID432,B,2648.314452008688,392.55333847342644,5296.628904017376
ID433,B,2409.220913410469,405.41042075041656,4818.441826820938
ID434,C,2681.5290046772684,400.9048057093463,-2280.624198967922
ID435,A,2441.962395794622,401.2258648863958,5319.757862951887
ID436,B,2211.9996623131465,413.3275190598865,4423.999324626293
ID437,A,2587.293039744512,410.81107982365455,5707.823720115262
ID438,C,2543.4632669643897,391.3479273675709,-2152.115339596819
ID439,A,2501.6903853391022,394.93452435342965,5530.398534250158
ID440,A,2463.7374544075024,394.58787377084536,5418.27299436828
ID441,A,2352.2001281845437,380.72157461971244,5152.992511455068
ID442,A,2582.1579283113847,421.0043426773117,5641.452071547596
ID443,A,2712.1137528929303,397.86312623687905,6147.025627494396
ID444,A,2614.5512133922143,406.61101915455305,5810.598544403877
ID445,C,2335.2957116483185,407.4351974613342,-1927.8605141869843
ID446,C,2825.111538894852,401.88364474997746,-2423.2278941448744
ID447,C,2692.9525073565937,393.59954975638755,-2299.352957600206
ID448,C,2620.5109346924414,377.49872370632016,-2243.0122109861213
ID449,B,2621.008943247847,407.62277190405405,5242.017886495694
